ind,competition,turn,gender,nation,age,rotation,jump type,minor_error,original_rotation,rejudge_rotation,original_edge,rejudge_edge
546,ec2022,13,male,ita,19,3,F,none,2,1,1,1
547,ec2022,13,male,ita,19,3,Lz,none,0,0,1,2
548,ec2022,15,male,fra,25,3,F,none,0,0,1,2
549,ec2022,17,male,ukr,21,3,Lz,none,0,0,1,1
550,ec2022,17,male,ukr,21,3,Lz,none,0,0,1,1
551,ec2022,19,male,lat,22,3,F,none,0,0,1,1
552,ec2022,20,male,ita,20,3,Lz,none,0,0,1,1
553,ec2022,20,male,ita,20,3,Lz,none,0,0,1,1
554,ec2022,24,male,rus,19,3,S,none,3,3,0,0
555,ec2022,24,male,rus,19,3,A,none,2,2,0,0
556,ec2022,1,female,ltu,24,3,T,fall,2,2,0,0
557,ec2022,2,female,ita,20,3,Lz,none,0,1,1,1
558,ec2022,3,female,hun,18,3,Lo,fall,2,2,0,0
559,ec2022,3,female,hun,18,3,T,none,3,3,0,0
560,ec2022,4,female,sui,25,3,Lz,fall,2,2,0,0
561,ec2022,4,female,sui,25,3,F,twofoot_landing,2,2,0,0
562,ec2022,5,female,bul,20,3,Lo,weak_landing,2,2,0,0
563,ec2022,5,female,bul,20,3,F,fall,2,2,0,0
564,ec2022,6,female,gbr,27,3,Lz,fall,2,2,0,0
565,ec2022,7,female,swe,27,3,S,weak_landing,2,2,0,0
566,ec2022,9,female,fin,23,3,F,fall,2,1,0,0
567,ec2022,13,female,aut,19,3,S,weak_landing,2,2,0,0
568,ec2022,13,female,aut,19,2,A,weak_landing,2,2,0,0
569,ec2022,13,female,aut,19,3,S,twofoot_landing,2,2,0,0
570,ec2022,14,female,ger,26,3,Lo,fall,2,2,0,0
571,ec2022,15,female,fra,23,3,Lz,none,0,0,1,2
572,ec2022,16,female,sui,21,3,Lo,none,2,2,0,0
573,ec2022,17,female,blr,19,3,Lz,none,0,0,1,1
574,ec2022,17,female,blr,19,3,Lz,none,0,0,1,1
575,ec2022,18,female,blr,19,3,S,weak_landing,2,2,0,0
576,ec2022,18,female,aze,19,3,F,none,0,0,1,2
577,ec2022,22,female,rus,17,4,Lz,fall,3,3,0,0
578,ec2022,23,female,bel,23,3,Lz,none,0,0,1,1
579,fc2022,3,male,aus,22,3,F,none,0,0,2,2
580,fc2022,3,male,aus,22,3,F,twofoot_landing,0,0,2,2
581,fc2022,4,male,usa,22,3,F,fall,0,0,2,2
582,fc2022,13,male,jpn,20,3,Lz,none,0,0,1,1
583,fc2022,14,male,aus,28,3,F,none,0,0,1,1
584,fc2022,6,male,kaz,19,3,F,twofoot_landing,3,3,0,0
585,gpusa2021,7,male,jpn,17,4,F,fall,0,0,2,1
586,gpusa2021,11,male,usa,22,4,F,none,0,0,1,1
587,gpusa2021,10,male,jpn,25,4,S,twofoot_landing,3,3,0,0
588,gpusa2021,4,female,usa,18,3,T,fall,3,3,0,0
589,gpusa2021,5,female,jpn,24,3,F,none,2,1,1,1
590,gpusa2021,8,female,kor,18,3,F,none,0,0,1,1
591,gpusa2021,9,female,jpn,22,3,Lz,none,0,0,1,2
592,gpusa2021,11,female,rus,15,3,Lz,none,0,0,1,1
593,gpusa2021,11,female,rus,15,3,Lz,none,0,0,1,1
594,gpusa2021,12,female,rus,17,3,F,none,0,0,1,2
595,gpfra2021,2,male,ita,19,3,F,none,0,0,1,1
596,gpfra2021,5,male,rus,17,3,F,step_out,0,0,2,2
597,gpfra2021,7,male,can,29,3,F,none,0,0,2,2
598,gpfra2021,9,male,jpn,17,4,F,none,0,0,1,0
599,gpfra2021,9,male,jpn,17,3,F,none,0,0,1,0
600,gpfra2021,10,male,usa,26,3,Lz,none,0,0,1,2
601,gpfra2021,11,male,lat,22,4,S,step_out,3,3,0,0
602,gpfra2021,2,female,usa,25,3,Lz,none,0,1,1,1
603,gpfra2021,2,female,usa,25,3,Lz,none,0,0,1,1
604,gpfra2021,3,female,fra,22,3,Lz,none,0,0,1,1
605,gpfra2021,3,female,fra,22,3,S,fall,3,3,0,0
606,gpfra2021,5,female,kor,16,3,F,none,0,0,1,1
607,gpfra2021,7,female,jpn,20,3,F,none,0,0,2,2
608,gpfra2021,9,female,kor,15,3,F,none,2,0,1,1
609,gpfra2021,10,female,rus,17,3,F,none,0,0,1,1
610,gpfra2021,12,female,rus,17,3,F,none,0,0,1,1
611,gpcan2021,3,male,can,22,3,F,weak_landing,0,1,2,2
612,gpcan2021,11,male,usa,26,4,S,weak_landing,3,3,0,0
613,gpcan2021,2,female,can,18,3,Lz,none,0,0,1,2
614,gpcan2021,2,female,can,18,3,Lo,weak_landing,3,3,0,0
615,gpcan2021,3,female,can,19,3,S,twofoot_landing,3,3,0,0
616,gpcan2021,7,female,usa,22,3,Lz,fall,3,3,0,0
617,gpcan2021,7,female,usa,22,3,Lo,fall,3,3,0,0
618,gpcan2021,8,female,jpn,20,3,F,none,0,0,2,2
619,gpcan2021,9,female,usa,16,3,A,fall,3,3,0,0
